OTU,isolate,group,od,cells_per_mL_per_OD,N_inoc_cells_per_L
1,Clade1_2068,Clade1,NA,NA,42000000
2,Clade1_2069,Clade1,NA,NA,42000000
3,Clade1_2070,Clade1,NA,NA,42000000
4,Clade2_2071,Clade2,NA,NA,42000000
5,Clade2_2072,Clade2,NA,NA,42000000
6,Clade2_2073,Clade2,NA,NA,42000000
7,Clade3_2074,Clade3,NA,NA,42000000
8,Clade3_2075,Clade3,NA,NA,42000000
9,Clade3_2076,Clade3,NA,NA,42000000
10,Clade4_2077,Clade4,NA,NA,42000000
11,Clade4_2078,Clade4,NA,NA,42000000
12,Clade4_2079,Clade4,NA,NA,42000000
13,glab_2048,glab,NA,NA,69000000
14,glab_2049,glab,NA,NA,69000000
15,glab_2050,glab,NA,NA,69000000
16,para_2051,para,NA,NA,14000000
17,para_2052,para,NA,NA,14000000
18,para_2053,para,NA,NA,14000000
