clade,resp_with,resp_noterm,rank_with,rank_noterm
clade1,1683.9618034362193,3714.767997443806,5,5
clade2,1572.5633035403173,2715.3069464629393,4,4
clade3,1084.4671169596672,2582.897911338883,3,3
clade4,880.392475191296,2382.9164897108635,2,2
glab,114.00289272979842,335.72429412055146,1,1
para,4158.664698400595,8399.922640828428,6,6
