Species,T,median,count
Duo,22,0.3160618815045,10
Duo,24,0.43443395290347303,10
Duo,26,0.49286707767218396,10
Duo,28,0.622001399863032,10
Duo,30,0.673907642966337,10
Duo,32,0.7123811632300381,10
Duo,34,0.674284382190186,9
Duo,36,0.560967200331291,10
Duo,38,0.225324614552232,9
Hae,22,0.298428928066134,15
Hae,24,0.408646519015416,15
Hae,26,0.48792675037761,15
Hae,28,0.5949040358684341,15
Hae,30,0.6167450828145059,15
Hae,32,0.603342894838392,15
Hae,34,0.5387419983541559,15
Hae,36,0.468629676100974,15
Hae,38,0.808800607812042,9
Hae,40,0.65207764208802,5
Hae,42,0.846888392545074,5
Hae,44,0.39266818035918,5
auris,22,0.260662325559354,60
auris,24,0.336662966451189,60
auris,26,0.434045058171462,60
auris,28,0.5242436758088159,59
auris,30,0.64824338561046,60
auris,32,0.747813852197805,60
auris,34,0.782658819772974,59
auris,36,0.800892903781707,58
auris,38,0.748576347991344,60
auris,40,0.684206122381896,59
auris,42,0.634143710273322,54
auris,44,0.4181475006678,37
para,22,0.289044866283306,15
para,24,0.36752004208878003,15
para,26,0.478547350366692,15
para,28,0.5624878798220221,14
para,30,0.577995470276112,15
para,32,0.8002105261446,15
para,34,0.674237220076104,15
para,36,0.6333699646264499,14
para,38,0.48192576861257996,15
para,40,0.360890382646767,4
