sp,otu_name,T,rt_live
auris,Clade1_2068,40,1.8154219329830565
auris,Clade1_2069,40,2.06199329637302
auris,Clade1_2070,40,2.428808664749262
auris,Clade2_2071,40,2.2597656775923696
auris,Clade2_2072,40,2.0177927132265023
auris,Clade2_2073,40,1.5716235930981202
auris,Clade3_2074,40,2.7995493993381655
auris,Clade3_2075,40,2.6375264025918654
auris,Clade3_2076,40,2.8548929162001286
auris,Clade4_2077,40,2.742624545564635
auris,Clade4_2078,40,2.8381450901252094
auris,Clade4_2079,40,2.20420524235005
duobushaemulonii,Duo_1770,40,0
duobushaemulonii,Duo_1771,40,0.28806846293503213
haemulonii,Hae_1724,40,2.0682816010961904
haemulonii,Hae_1768,40,0
haemulonii,Hae_1769,40,0
parapsilosis,para_2051,40,1.4788772129444916
parapsilosis,para_2052,40,1.6230588287194716
parapsilosis,para_2053,40,0.6178505353056318
