T,n,resp_swing_med,resp_swing_lo,resp_swing_p75,cue_swing_med,cue_swing_p25,cue_swing_hi,growth_swing
22,114,-1.0680800753518793,-2.7849349193894564,0.6549143250780154,0.49699051401026484,-0.2501941136670016,1.1358440497421685,0
24,115,-0.8104348303781039,-4.096826382342472,2.3383772024654026,0.3089018643981367,-0.8222175628955442,1.653533417294828,0
26,115,3.965669060239563,0.5658640926431868,7.937861883885766,-1.2727780708111092,-2.3753454729816657,-0.15282036726643744,0
28,112,6.840645122480071,0.04118557775107112,14.79366306759342,-1.4625896291484919,-3.507147399894392,-0.008945718541242265,0
30,114,11.923393589269393,0.5893549858739355,22.51732442999348,-2.3368676180323957,-4.608531664816681,-0.1573705198060632,0
32,115,10.281499880109891,-0.08560109477472322,24.985109837670727,-2.3998477914577987,-5.4392629793261875,0.003997167371200261,0
34,113,2.90200358713657,-8.145704729463532,22.0817959596034,-0.7133347175978688,-3.562192983506074,2.766891905360791,0
36,112,-1.2571638578918853,-10.673294057928256,12.898816123604112,0.3980787733147473,-2.803901959865815,4.384967719752542,0
38,108,-6.467967323665041,-18.099368673360846,8.381014489466649,2.1636174697935773,-2.122148163168921,10.928099553513565,0
40,83,-7.913633302845335,-17.956524943337136,0.1560285411659923,3.2825504685904727,-0.08306420927610692,10.62530470945492,0
42,69,-7.653303620818564,-18.941451274456245,7.0034511837351765,3.6755092543029333,-2.0540612226250143,14.878363702545961,0
44,52,-29.114981663338497,-36.20089177941668,-21.307520740091814,22.598928360188708,16.015501392831,39.84972556033408,0
