Group,growth_E_eV,growth_E_lo,growth_E_hi,growth_Th_K,growth_Topt_C,growth_Topt_lo,growth_Topt_hi,resp_E_eV,resp_E_lo,resp_E_hi
Clade1,0.9010557487773183,0.7475745018185542,1.0653946184822014,310.35090216561014,35.49579831932773,33.64705882352941,37.34453781512605,0.5184327086421238,0.44394224567412666,0.5930526620002498
Clade2,1.147996579412466,0.9785264720674746,1.3299175520914865,309.3273890841618,34.75630252100841,33.09243697478992,36.78991596638656,0.41448603716534005,0.3314470155308839,0.49927521383476126
Clade3,0.9421766362374844,0.7843848176769941,1.1110964626235713,310.2669156552801,35.680672268907564,33.831932773109244,37.714285714285715,0.40153153790350915,0.32949754968599093,0.47770194075948935
Clade4,1.0111947743193532,0.8495851871491897,1.1831970995735062,310.2213621639273,36.42016806722689,34.57142857142857,38.45378151260505,0.30095079688647697,0.2252521215600432,0.3781046683175749
Duo,0.6221481875736383,0.4539350238461768,0.8007009786521456,309.4833491049254,33.46218487394958,31.42857142857143,35.865546218487395,0.4746319505844048,0.3568594226726152,0.593190618236361
Hae,0.7968397242072742,0.6056812120790607,0.9848561808139011,307.7189622474714,31.983193277310924,30.134453781512605,34.016806722689076,0.4331457299378385,0.3443498568918785,0.5277558666247811
para,0.8277012725138999,0.6544645507060719,1.0166443650714425,309.1628131089317,33.27731092436975,31.613445378151262,35.3109243697479,0.3644124136401635,0.2692895918691792,0.4609579471541742
