Group,E,E_lo,E_hi,ER,ER_lo,ER_hi,dE,dE_lo,dE_hi,dE_credible,Eh,Eh_lo,Eh_hi,Topt,Topt_lo,Topt_hi,Tcue,Tcue_lo,Tcue_hi,P_below_body,tax37,tax37_lo,tax37_hi,tax40,tax40_lo,tax40_hi,growth37,growth40,g40_lo,g40_hi,growth_lost,growth_lost_lo,growth_lost_hi,growth_kept,gk_lo,gk_hi,fever_cost,fc_lo,fc_hi
Clade1,0.912922094476396,0.7943945626944158,1.0579006099238395,0.5189006289805114,0.4441732112295698,0.5949198696031558,0.3933806718749056,0.2541436170550715,0.5555144851184379,TRUE,2.3748474095169763,2.140571062458174,2.6552959956123843,35.19804898247767,34.40445688954476,36.067523460589705,31.273303569288544,30.021372791947083,32.46629803789677,1,1.2975043827383863,1.1831439281356717,1.4418353622121947,1.897922284582002,1.653610767778937,2.198889798831796,96.8013184586575,79.68947107501225,74.02075856063183,85.26293813655317,17.027043168124067,13.495058130850303,20.353292756281853,0.8239444890100955,0.7848498068315863,0.8629984124977252,1.4616874003288904,1.3842229741583496,1.5459081300401007
Clade2,1.1417664365132656,1.0086241932984905,1.2925129410668559,0.41408107830474866,0.33058841115257076,0.5029525185849716,0.7277113390696623,0.5673576022400942,0.8993588407775664,TRUE,3.179460781059409,2.863491876011155,3.5826971944786576,34.61168502087489,33.868839010176856,35.40999007621322,32.97771560549228,32.073583585139495,33.903447578585826,1,1.30183768598793,1.1759846242699517,1.455781336477495,2.248741962337368,1.9018103668034212,2.665569952275089,90.19755031671323,60.63608528369842,53.24934313226415,68.48093491801099,29.432141704611823,24.999265614334103,33.766356661583224,0.6731281028999478,0.6169506738022622,0.7287848194795798,1.7242373980362924,1.5834977786794273,1.8911783838776983
Clade3,0.9465518791169402,0.8328734759972226,1.0726487267776392,0.4002521459814419,0.325241630008277,0.4772820737317913,0.5461812441256735,0.4106827490232957,0.6903104337464567,TRUE,2.3680325647709584,2.1714273225194924,2.6195946340803147,35.54469834530562,34.77498858592388,36.37525580314157,32.78702412994605,31.7183348805911,33.86590170380125,1,1.169283608677131,1.0927038653011,1.2669325976718844,1.6071028502376183,1.4286702015740285,1.8167946406948159,97.8917520238671,82.25623178908138,76.99190225890479,87.40430501335445,15.589298698810673,12.045909109869044,18.699074564884732,0.8406574989720073,0.8046685533361272,0.8787449653968117,1.3731797804789665,1.3029195757320686,1.4447858413534205
Clade4,1.0178175681390278,0.9002038252091722,1.1538361672855295,0.301433828282493,0.22577801315743404,0.37878641392248397,0.7169783490309256,0.5728116432639015,0.8715642988917549,TRUE,2.2122159590701926,2.016363729362895,2.4664319615012418,36.26025871003546,35.50327010126213,37.043958503525026,34.123196740096915,33.079285361912206,35.14005492806287,1,1.0729129350022504,1.0310125364550828,1.1329833582183428,1.341200524623781,1.232097773688209,1.4790276402820919,99.51993584398755,88.73180502114359,84.12158351696115,92.82588965448574,10.760674731068669,7.148332091090157,14.266044128916336,0.8918704511570243,0.8550518662767026,0.9285051610850262,1.2490568495149448,1.1901079240727386,1.3133489614704414
para,0.8288019411339431,0.6967557962886447,0.9847516175643489,0.3645701834481827,0.26434297479439495,0.46185476319017965,0.46612238232832554,0.30048463871918296,0.6490882584439311,TRUE,3.2028525192762154,2.71853344824343,3.8185264480979657,33.12971750427059,32.36437715333526,33.96634008132511,31.303622713066147,30.183713840642586,32.372161798033716,1,1.5974777404630465,1.3884857141144953,1.8591514155800137,3.1307827246218034,2.4782412019170827,4.053226780750666,77.30157630727471,44.91699072830333,35.717791619521506,54.65741740208997,32.18585179394567,26.752974478910197,38.15650786568606,0.5820974709311337,0.49648878690001524,0.6639879181260548,1.956486102350099,1.7086644189507232,2.3015742375292016
