parameter,group_a,group_b,diff,lo,hi,P_a_greater
growth_E_eV,Clade1,Clade2,-0.24740105071856067,-0.48826222158786864,-0.013211390537367505,0.02
growth_E_eV,Clade1,Clade3,-0.04142827839524288,-0.2648231383897924,0.18819749072978342,0.35591666666666666
growth_E_eV,Clade1,Clade4,-0.11054922982214782,-0.3436796292248837,0.12213624276960346,0.1665
growth_E_eV,Clade1,Duo,0.27906257634369575,0.043889587983864276,0.5120730976404965,0.9875
growth_E_eV,Clade1,Hae,0.10358988160381627,-0.1320523726378819,0.3627691350503012,0.8079166666666666
growth_E_eV,Clade1,para,0.07418399806717751,-0.17663284956885517,0.31803112562097957,0.72675
growth_E_eV,Clade2,Clade3,0.2061596555408428,-0.034215977385845295,0.44478021657941635,0.9578333333333333
growth_E_eV,Clade2,Clade4,0.13639052801181828,-0.10016105141783833,0.3774657236203795,0.8794166666666666
growth_E_eV,Clade2,Duo,0.5253399744231871,0.28190754393272366,0.7715630690908276,0.9999166666666667
growth_E_eV,Clade2,Hae,0.35082767953957494,0.102147161703343,0.6193838551607999,0.99725
growth_E_eV,Clade2,para,0.31966097710860636,0.06715804522177156,0.5732203092120124,0.9935
growth_E_eV,Clade3,Clade4,-0.06969868115788547,-0.2970534485356037,0.16058450370069535,0.2668333333333333
growth_E_eV,Clade3,Duo,0.31905803787218806,0.07679404775100976,0.5543128928412195,0.9931666666666666
growth_E_eV,Clade3,Hae,0.14690465395293606,-0.09205179720042185,0.39723374564030023,0.88775
growth_E_eV,Clade3,para,0.11417107879259702,-0.13440002391286707,0.3522114674158285,0.82675
growth_E_eV,Clade4,Duo,0.38893446828994516,0.14830149699472028,0.6289313720054034,0.9979166666666667
growth_E_eV,Clade4,Hae,0.21385060353757396,-0.024300894665807454,0.47448752561812674,0.9604166666666667
growth_E_eV,Clade4,para,0.18436901876850575,-0.07003532288582212,0.42612190522773646,0.925
growth_E_eV,Duo,Hae,-0.17434018220134112,-0.4150543386945765,0.09264255679456124,0.09008333333333333
growth_E_eV,Duo,para,-0.2052377054168058,-0.4619510162153611,0.04391067974730745,0.04858333333333333
growth_E_eV,Hae,para,-0.03161247161422387,-0.30217851141137014,0.21454816258789988,0.40275
growth_Th_K,Clade1,Clade2,1.0087755969386194,-2.0875551312400362,4.029756836933206,0.7528333333333334
growth_Th_K,Clade1,Clade3,0.08466047568057888,-3.1208372186833757,3.258494602108494,0.5215833333333333
growth_Th_K,Clade1,Clade4,0.15568011373937907,-3.004024248659674,3.3475536641706753,0.5381666666666667
growth_Th_K,Clade1,Duo,0.8501259978049518,-2.310883767477198,3.839838258179426,0.7141666666666666
growth_Th_K,Clade1,Hae,2.621102987965827,-0.528705387477666,5.5269764463018936,0.94975
growth_Th_K,Clade1,para,1.1897336907920533,-1.8471682000949796,4.20088255983422,0.7836666666666666
growth_Th_K,Clade2,Clade3,-0.9318681350383997,-3.969029816000942,2.170517260591184,0.26866666666666666
growth_Th_K,Clade2,Clade4,-0.8743878979549606,-3.860794588826128,2.306682630507073,0.28358333333333335
growth_Th_K,Clade2,Duo,-0.1708646834138392,-3.141735844530308,2.807851427807398,0.4528333333333333
growth_Th_K,Clade2,Hae,1.5966648036271067,-1.4598431622896086,4.521013454162123,0.86525
growth_Th_K,Clade2,para,0.15905115131266712,-2.711808020551143,3.179906807878827,0.5475833333333333
growth_Th_K,Clade3,Clade4,0.050605016296088934,-3.171564860678184,3.299535007357081,0.5120833333333333
growth_Th_K,Clade3,Duo,0.755866791767005,-2.4220356364370317,3.817270726002718,0.6894166666666667
growth_Th_K,Clade3,Hae,2.5250652910790166,-0.6562041127157598,5.510696398650372,0.94475
growth_Th_K,Clade3,para,1.071371129080262,-1.934063726087085,4.218112743040229,0.7693333333333333
growth_Th_K,Clade4,Duo,0.6999736837797741,-2.578160370460753,3.775303078829594,0.6726666666666666
growth_Th_K,Clade4,Hae,2.4763144640312476,-0.8205924071393368,5.515566395358953,0.93775
growth_Th_K,Clade4,para,1.0356868519447175,-2.022201592476247,4.097041592809141,0.74575
growth_Th_K,Duo,Hae,1.782423091579119,-1.215374635656198,4.7378274959782045,0.8894166666666666
growth_Th_K,Duo,para,0.33855237798212556,-2.4801718128872223,3.387279261926519,0.5923333333333334
growth_Th_K,Hae,para,-1.4419482658717016,-4.225370455116725,1.6502389420443309,0.16091666666666668
growth_Topt_C,Clade1,Clade2,0.7394957983193251,-1.848739495798327,3.327731092436977,0.6870833333333334
growth_Topt_C,Clade1,Clade3,-0.18487394957983128,-2.9579831932773075,2.4033613445378137,0.3985
