b0,b1_T,b2_T2,T_opt_C,CUE_at_opt,concave,r_squared,n,OTU,otu_name,cell_volume_um3,cell_carbon_fg
-0.6978745332838379,0.08944020918617551,-0.0015176683401714262,29.466322390329665,0.6198624859853483,TRUE,0.5801593822574937,58,1,Clade1_2068,8,1320
-1.695023512456464,0.14743984851610345,-0.002385252905504147,30.906544160553192,0.5834045821376477,TRUE,0.5135804890131636,58,2,Clade1_2069,8,1320
-1.4381802422902068,0.13600607544234608,-0.0021879002903167953,31.081415374430335,0.6754504198446272,TRUE,0.5478679857582008,60,3,Clade1_2070,8,1320
-1.3639241054081541,0.1238379688045133,-0.0020225856517242283,30.61377615799435,0.5316498230128746,TRUE,0.35140677510883245,53,4,Clade2_2071,8,1320
-2.9607260933554063,0.22160977415179306,-0.003470127584480534,31.931070076918697,0.5773925207301085,TRUE,0.611380891449851,55,5,Clade2_2072,8,1320
-3.1393862752307937,0.23075584144291791,-0.0036460207806698784,31.644888403587412,0.5117351502377301,TRUE,0.7098159324361729,51,6,Clade2_2073,8,1320
-1.2182929146903667,0.11852636162000472,-0.0018058053496142542,32.818144448770084,0.7266147136258703,TRUE,0.49236506325336954,57,7,Clade3_2074,8,1320
-1.5482175393716604,0.15162398228358936,-0.002462863320450505,30.782053763311236,0.7854312478587389,TRUE,0.6965554025565398,60,8,Clade3_2075,8,1320
-1.9955753541825583,0.17449545421147394,-0.0027400444173682004,31.84171999282333,0.7825423423285804,TRUE,0.6792010502667524,59,9,Clade3_2076,8,1320
-1.360899411306984,0.12459496863004632,-0.0018530293295270501,33.619265125675796,0.7334962305424093,TRUE,0.5168621844870182,60,10,Clade4_2077,8,1320
-1.6492439095778444,0.14801897525903226,-0.0022467120481233873,32.9412430450685,0.788720610067037,TRUE,0.6408587513351834,60,11,Clade4_2078,8,1320
-2.3580979015449577,0.1915871094021656,-0.0029675239662835537,32.28063388517534,0.7341787663202135,TRUE,0.6201072001228123,55,12,Clade4_2079,8,1320
-2.105361046613948,0.1985794939021807,-0.0033009098021626925,30.079509257125903,0.8812258159390622,TRUE,0.322703034117342,49,13,glab_2048,8,1320
-0.9734287711997849,0.12742415647218439,-0.0021701110885309184,29.358901750611675,0.8970878740609305,TRUE,0.37348233498307126,60,14,glab_2049,8,1320
-2.2118015106731064,0.2075965617698935,-0.00335149084431335,30.970778589792875,1.00291206461571,TRUE,0.6972413280299152,59,15,glab_2050,8,1320
-1.4008827315948498,0.1372849342864121,-0.002304571547483356,29.785348698835225,0.6436570878138825,TRUE,0.19255845104044328,45,16,para_2051,32,5280
-1.9003957583956272,0.18015015875319332,-0.0030116720769030754,29.90866106153945,0.7936292607702646,TRUE,0.5550670079456467,49,17,para_2052,32,5280
-0.859811969234685,0.10892034390796197,-0.001846380910866854,29.495632040743196,0.7465252235955402,TRUE,0.11482488332939143,43,18,para_2053,32,5280
