T,OTU,Replicate,r,K,O2_0,T_end_min,keep,has_curvature,delta_aicc_curv,fit_valid
22,1,R1,0.00419449825457765,0.002344247967810769,10.101928778532297,529.63,TRUE,TRUE,1934.1593353600767,TRUE
22,1,R2,0.005055372525854403,0.0020116340304122257,10.58833745843734,547.65,TRUE,TRUE,2436.739398234906,TRUE
22,1,R3,0.00481282570755265,0.0025678160087163,12.035984988393423,495.53,TRUE,TRUE,1868.614740502221,TRUE
22,1,R4,0.004593800505550988,0.0023181687585895052,9.901613760004066,522.56,TRUE,TRUE,1911.3957690905402,TRUE
22,1,R5,0.004839468194294321,0.002110702727485273,10.031708971470014,475.4599999999999,TRUE,TRUE,1610.2431066806841,TRUE
22,2,R1,0.0038283857670708614,0.0032480124712262783,10.393753650006552,392.22999999999996,TRUE,TRUE,878.2065219659705,TRUE
22,2,R2,0.004791169056606754,0.0025061455678763314,10.843209968366084,514.55,TRUE,TRUE,1539.2504865587591,TRUE
22,2,R3,0.005277088507493177,0.0023239461528570915,10.411340551584535,480.50000000000006,TRUE,TRUE,2344.974303496476,TRUE
22,2,R4,0.0037857256304745608,0.005415488167106905,10.888941000916384,412.33000000000004,TRUE,TRUE,636.6202126352662,TRUE
22,2,R5,0.0038932730840364024,0.0032301255313474508,10.04021777070278,494.54999999999995,TRUE,TRUE,2074.298491973688,TRUE
22,3,R1,0.004951858423273577,0.0017656197437796476,9.98644203228871,510.59000000000003,TRUE,TRUE,1626.5106341241228,TRUE
22,3,R2,0.005069813378800439,0.0019146586990872847,10.577661421672753,530.5999999999999,TRUE,TRUE,1908.039813589816,TRUE
22,3,R3,0.004726998769106449,0.0020517212672499984,10.527535699450967,491.52000000000004,TRUE,TRUE,1623.3228509678868,TRUE
22,3,R4,0.004714949946162854,0.0021517598568328556,9.650380256114294,581.77,TRUE,TRUE,2127.0569605489395,TRUE
22,3,R5,0.004846197373009392,0.002202872356839868,9.841130963364801,433.40999999999997,TRUE,TRUE,1672.5904002568484,TRUE
22,4,R1,0.003212950463664091,0.0021603025433283582,10.820481443948355,599.02,TRUE,TRUE,2141.177499254227,TRUE
22,4,R2,0.003236002432599628,0.0025251242132308806,10.970988301919162,710.33,TRUE,TRUE,2872.517460557839,TRUE
22,4,R3,0.002862510832482427,0.0026933885590683976,10.478394695439471,628.1,TRUE,TRUE,2087.0357449125095,TRUE
22,4,R4,0.003413900325157007,0.0023367214644860524,10.472389528665664,625.0699999999999,TRUE,TRUE,2011.4052285824635,TRUE
22,4,R5,0.003116538633212749,0.002340801556356217,10.743077134470692,729.3900000000001,TRUE,TRUE,2266.8623827484334,TRUE
22,5,R1,0.0024189658906686954,0.0021439817126161467,10.273744487829545,799.6,TRUE,TRUE,2253.2765172919753,TRUE
22,5,R2,0.0022518034193797663,0.002462565350367921,10.757573677119918,827.7,TRUE,TRUE,2443.1748002336717,TRUE
22,5,R3,0.002247633834199033,0.002508096858497948,10.703764907058213,825.68,TRUE,TRUE,3552.1033463570307,TRUE
22,5,R4,0.00141347933266526,0.004517035789815889,10.887893615851482,546.88,TRUE,TRUE,611.601248607175,TRUE
22,5,R5,0.0016126658225202577,0.003711792411670511,10.427962487403914,617.0500000000001,TRUE,TRUE,997.8193226155281,TRUE
22,6,R1,0.0012822127255584287,0.0031072953761420294,10.248386712347138,730.3900000000001,TRUE,TRUE,1452.073993580264,TRUE
22,6,R2,0.001499582160899866,0.0026679373632594325,9.347553969034628,895.97,TRUE,TRUE,2979.173891186699,TRUE
22,6,R3,0.0017183657430096377,0.0023882754752597725,10.042992189072082,878.9000000000001,TRUE,TRUE,3246.0171139292183,TRUE
22,6,R4,0.0014630977327868735,0.0029819168710240977,10.809507601852749,900,TRUE,TRUE,1971.1083142648745,TRUE
22,6,R5,0.0011837598013284898,0.0035128903396173103,10.631589052367977,707.3,TRUE,TRUE,1552.401587941542,TRUE
22,7,R1,0.004241767659380423,0.0018118460657559612,11.708642130164996,642.08,TRUE,TRUE,2521.726521406373,TRUE
22,7,R2,0.004407111416069935,0.0019039314191829897,10.81847924898367,598.93,TRUE,TRUE,2753.84689241628,TRUE
22,7,R3,0.004458692987633664,0.0021005052272242944,11.622057889692101,594.9,TRUE,TRUE,2363.8120692701896,TRUE
22,7,R4,0.0036654717556309888,0.0023139562394328167,10.862308545966208,601.9499999999999,TRUE,TRUE,2551.7288170863303,TRUE
22,7,R5,0.004276188647108508,0.0018911154332146407,11.577784768396102,635.0500000000001,TRUE,TRUE,2334.6512266986374,TRUE
22,8,R1,0.004344281953674805,0.001476923628695991,10.529532343896339,651.12,TRUE,TRUE,2459.598574163153,TRUE
22,8,R2,0.004231538816022748,0.0016747113124910508,11.076298896711883,629.0300000000001,TRUE,TRUE,2461.2826652432404,TRUE
22,8,R3,0.004702390775922322,0.0015049078303669228,10.954771143228436,521.71,TRUE,TRUE,2108.4933360851865,TRUE
22,8,R4,0.004624358423137088,0.0014767167263539053,10.928035959946795,577.87,TRUE,TRUE,2631.7599935504068,TRUE
22,8,R5,0.0052644833156519875,0.0015068080764703443,10.606594552849215,512.6800000000001,TRUE,TRUE,2295.361776550526,TRUE
22,9,R1,0.004440157403676067,0.0017393179698902237,11.645815836569053,598.92,TRUE,TRUE,2050.1491025569358,TRUE
22,9,R2,0.00420859829162858,0.00211563032068852,10.981423835494622,491.60999999999996,TRUE,TRUE,1892.1403839532413,TRUE
22,9,R3,0.00453529628059494,0.0016858961405982944,11.364971680219401,595.9200000000001,TRUE,TRUE,2354.1541376257,TRUE
22,9,R4,0.004516874812547463,0.0016668219594842602,11.746959066292575,605.95,TRUE,TRUE,2473.7855109349543,TRUE
22,9,R5,0.004358075219691199,0.001914378057383052,11.252670371023534,664.1700000000001,TRUE,TRUE,2826.776669455897,TRUE
22,10,R1,0.004117108562378504,0.0014303969197611032,10.626611896673628,658.12,TRUE,TRUE,2514.2296304259876,TRUE
22,10,R2,0.004344462231637091,0.001486402103581533,10.707846998697368,587.85,TRUE,TRUE,2720.5720001339378,TRUE
22,10,R3,0.004057479661381235,0.0016663501362381033,9.981566242306787,591.87,TRUE,TRUE,2194.297098904881,TRUE
22,10,R4,0.004026267244268392,0.0014931381353192289,9.818467319353589,663.12,TRUE,TRUE,2700.833499022946,TRUE
