T,OTU,Replicate,n,r2,rmse,rss,aic,aicc,aicc_lin,delta_aicc_curv,rt_curv,has_curvature,r_at_bound,K_at_bound,fit_valid,T_end_min,keep
22,1,R1,529,0.9980921607516355,0.055966041962233,1.6569326641938469,-3044.2247553206075,-3044.179041034893,-1110.0197056748152,1934.1593353600779,2.2215321105719608,TRUE,FALSE,FALSE,TRUE,529.63,TRUE
22,1,R2,547,0.9987121880108341,0.05834670664568545,1.862172982489528,-3102.4394853614485,-3102.395286466421,-665.6558882315172,2436.739398234904,2.768574763784164,TRUE,FALSE,FALSE,TRUE,547.65,TRUE
22,1,R3,495,0.998026866198935,0.06482106887519944,2.079876630211058,-2702.7633455914565,-2702.7144657543895,-834.099725252167,1868.6147405022225,2.3848995228635643,TRUE,FALSE,FALSE,TRUE,495.53,TRUE
22,1,R4,522,0.9977796694618696,0.06613229267283567,2.28295663003444,-2829.606425500651,-2829.560093454319,-918.1643243637784,1911.3957690905406,2.4005363921807237,TRUE,FALSE,FALSE,TRUE,522.56,TRUE
22,1,R5,475,0.9972771382549397,0.056909683958901953,1.5383882609434985,-2716.975271745056,-2716.9243163310434,-1106.6812096503613,1610.243106680682,2.3009735476591775,TRUE,FALSE,FALSE,TRUE,475.4599999999999,TRUE
22,2,R1,392,0.9958119260847258,0.054566121465892056,1.1671649518375504,-2274.14018663147,-2274.078330961367,-1395.8718089954277,878.2065219659394,1.5016077494182039,TRUE,FALSE,FALSE,TRUE,392.22999999999996,TRUE
22,2,R2,514,0.9953173807921841,0.10677966942340317,5.860575470316028,-2293.623388270998,-2293.5763294474687,-754.3258428887093,1539.2504865587593,2.465296038077005,TRUE,FALSE,FALSE,TRUE,514.55,TRUE
22,2,R3,480,0.9992826536630727,0.037824522639564415,0.6867333661972421,-3137.805734038645,-3137.7553138705775,-792.7810103741028,2344.974303496475,2.5356410278504717,TRUE,FALSE,FALSE,TRUE,480.50000000000006,TRUE
22,2,R4,412,0.9892755643440089,0.15909742412351421,10.428540029447793,-1508.7085520719704,-1508.6497285425587,-872.0295159072915,636.6202126352672,1.560968249213576,TRUE,FALSE,FALSE,TRUE,412.33000000000004,TRUE
22,2,R5,494,0.9991597345208265,0.039620073803776155,0.7754566226190347,-3183.678342423479,-3183.6293628316425,-1109.3308708579532,2074.298491973689,1.9254182037102026,TRUE,FALSE,FALSE,TRUE,494.54999999999995,TRUE
22,3,R1,510,0.9960048254522164,0.07182989688912515,2.631362384422199,-2680.1235883489057,-2680.0761575188662,-1053.565523394743,1626.5106341241233,2.528369392339256,TRUE,FALSE,FALSE,TRUE,510.59000000000003,TRUE
22,3,R2,530,0.9970798754138254,0.0769648030196095,3.1394978790390655,-2712.271489190021,-2712.225861813595,-804.1860482237819,1908.0398135898133,2.6900429787915128,TRUE,FALSE,FALSE,TRUE,530.5999999999999,TRUE
22,3,R3,491,0.9969657289121336,0.06125351172304378,1.8422284149168853,-2736.464883202023,-2736.415601887855,-1113.092750919968,1623.3228509678868,2.3234144349912023,TRUE,FALSE,FALSE,TRUE,491.52000000000004,TRUE
22,3,R4,581,0.9972204908742127,0.09580148983639022,5.332374689280621,-2719.444323499067,-2719.4027290449944,-592.345768496054,2127.0569605489404,2.7430164301791637,TRUE,FALSE,FALSE,TRUE,581.77,TRUE
22,3,R5,433,0.998574356741126,0.034441118299615596,0.5136205426722744,-2911.124575711353,-2911.068631655409,-1238.4782313985652,1672.5904002568436,2.100390403436,TRUE,FALSE,FALSE,TRUE,433.40999999999997,TRUE
22,4,R1,598,0.9983923862817877,0.04437146663259994,1.177358576574502,-3719.729756807037,-3719.689352766633,-1578.5118535124018,2141.1774992542314,1.9246215867440637,TRUE,FALSE,FALSE,TRUE,599.02,TRUE
22,4,R2,709,0.998613577815503,0.07234769363049974,3.7110398405197307,-3718.053276782817,-3718.019234229626,-845.501773671786,2872.51746055784,2.298629607948494,TRUE,FALSE,FALSE,TRUE,710.33,TRUE
22,4,R3,627,0.9981923879938432,0.05686844007099227,2.0277302115197404,-3589.2364937089083,-3589.19797043443,-1502.1622255219204,2087.0357449125095,1.7979430538822125,TRUE,FALSE,FALSE,TRUE,628.1,TRUE
22,4,R4,624,0.9971738950143528,0.07578381902940864,3.5837488294496676,-3213.678357031511,-3213.6396473540917,-1202.2344187716283,2011.4052285824635,2.13392667624589,TRUE,FALSE,FALSE,TRUE,625.0699999999999,TRUE
