Group,T,CUE,lo,hi
Clade1,22,0.31145449400017666,0.25116743029321353,0.38043874943189376
Clade1,22.18487394957983,0.3133771179864452,0.25284110135417187,0.3824423993603776
Clade1,22.369747899159663,0.3153362253149925,0.254602818347082,0.3844571629624903
Clade1,22.554621848739497,0.3172864499134984,0.25650541674240945,0.386101838755012
Clade1,22.73949579831933,0.31925401118101177,0.2583788309286369,0.3882558526263277
Clade1,22.92436974789916,0.32121629318231754,0.26013539171271527,0.390405416531986
Clade1,23.10924369747899,0.3231421497711847,0.2618461460009568,0.3922864859869902
Clade1,23.294117647058822,0.3249893205310528,0.2637392072341904,0.3946671790425617
Clade1,23.478991596638657,0.3268101196537477,0.26530698215811527,0.3967197236419798
Clade1,23.66386554621849,0.3287675742874919,0.26714444882244426,0.39871791447647437
Clade1,23.84873949579832,0.33058841384362675,0.26880587234848846,0.4006190763173808
Clade1,24.03361344537815,0.33244664150391645,0.2706006165482601,0.40277687162898396
Clade1,24.218487394957982,0.33427643182308,0.27226144808144503,0.4048281699918418
Clade1,24.403361344537814,0.33616682884553795,0.27370976902197103,0.40653147012398644
Clade1,24.58823529411765,0.3379633033023659,0.27530140626478994,0.40861997990761334
Clade1,24.77310924369748,0.3398302221621359,0.27690492232867114,0.4106243072118528
Clade1,24.95798319327731,0.3415840651220724,0.27864009431883124,0.41250850716102927
Clade1,25.142857142857142,0.3433464358182965,0.2802623781112095,0.4143187562850131
Clade1,25.327731092436974,0.34506723243095305,0.28197809421235875,0.41614416249483044
Clade1,25.51260504201681,0.3467996401632267,0.28338064563564824,0.41786643224787656
Clade1,25.69747899159664,0.34848637550108824,0.2849544768904703,0.4196711205823681
Clade1,25.88235294117647,0.3501297391103592,0.2865605676497002,0.42151114607634765
Clade1,26.067226890756302,0.35174467309246416,0.2881000130525917,0.4234249958938871
Clade1,26.252100840336134,0.3533633116322052,0.2894371437522337,0.42525200495853255
Clade1,26.436974789915965,0.3549785167491676,0.2908197621937885,0.42708394353805695
Clade1,26.6218487394958,0.35653297171078746,0.29199381415877995,0.4288208078702492
Clade1,26.80672268907563,0.3580398607682154,0.2933756828946573,0.43052445020218194
Clade1,26.991596638655462,0.35950965185978745,0.2946332052813585,0.4319748992714158
Clade1,27.176470588235293,0.36094520109152595,0.29609133911838453,0.43369033201197893
Clade1,27.36134453781513,0.3624388853281719,0.2973125158795145,0.4354970317747509
Clade1,27.54621848739496,0.36383983604793785,0.29853541718049376,0.43685687509927335
Clade1,27.73109243697479,0.36516958103495445,0.29984612619960344,0.43834310688176126
Clade1,27.915966386554622,0.36644195744962127,0.30092275723117756,0.43955295077915596
Clade1,28.100840336134453,0.3677265321425246,0.30197623715432487,0.44104965035780236
Clade1,28.285714285714285,0.3690118686949775,0.30301891018192134,0.4425041808588167
Clade1,28.470588235294116,0.3701885908272955,0.3041797641656036,0.44386295382751484
Clade1,28.65546218487395,0.3711449049090185,0.3049056788993783,0.4449715134186256
Clade1,28.840336134453782,0.37219119841660564,0.3056418997210786,0.4459067937151702
Clade1,29.025210084033613,0.37319514503603435,0.30664513054866804,0.4468496578098126
Clade1,29.210084033613445,0.3741320909071427,0.30744644027787066,0.4478288232156777
Clade1,29.39495798319328,0.3749657054732752,0.3082827877995301,0.44852414087866965
Clade1,29.57983193277311,0.3757186664583262,0.3088959423337734,0.44948457219391535
Clade1,29.764705882352942,0.3764423627867378,0.30953733548188495,0.4502460627401361
Clade1,29.949579831932773,0.37712929348695873,0.31007913431585354,0.4509621286564837
Clade1,30.134453781512605,0.3777153348903538,0.31064403459603557,0.45169565899076447
