Group,E_resp_minus_growth,lo,hi,P_resp_more_sensitive
Clade1,-0.3933806718749056,-0.555514485118438,-0.25414361705507155,0
Clade2,-0.7277113390696623,-0.8993588407775664,-0.5673576022400942,0
Clade3,-0.5461812441256735,-0.6903104337464567,-0.4106827490232957,0
Clade4,-0.7169783490309256,-0.8715642988917549,-0.5728116432639017,0
para,-0.46612238232832554,-0.6490882584439311,-0.30048463871918296,0
