Group,Isolate,T,CUE,lo,hi
Clade1,Clade1_2068,22,0.5497662330764057,0.5131832981596107,0.5857173936635756
Clade1,Clade1_2068,22.18487394957983,0.5517045579507702,0.5157548325820839,0.5869365900101737
Clade1,Clade1_2068,22.369747899159663,0.5536960869793525,0.5183300425138083,0.5882785659469268
Clade1,Clade1_2068,22.554621848739497,0.5556690541706275,0.5208079036833685,0.589685511134104
Clade1,Clade1_2068,22.73949579831933,0.5576087231009741,0.5231140516561922,0.5911058025041328
Clade1,Clade1_2068,22.92436974789916,0.5595082196052221,0.5256118763559748,0.5924628098721265
Clade1,Clade1_2068,23.10924369747899,0.56136171162064,0.5280192077579436,0.5938399224470684
Clade1,Clade1_2068,23.294117647058822,0.5632584977133778,0.5302780390850077,0.5950794098030832
Clade1,Clade1_2068,23.478991596638657,0.5651402380173374,0.5326156460234653,0.5964185790054979
Clade1,Clade1_2068,23.66386554621849,0.5670066366635655,0.5349575894839876,0.5977661955853818
Clade1,Clade1_2068,23.84873949579832,0.5688169821688038,0.5373603274226769,0.5991505982987265
Clade1,Clade1_2068,24.03361344537815,0.5705731952052766,0.53946508891429,0.6004222271173218
Clade1,Clade1_2068,24.218487394957982,0.5723523114539164,0.5415654578192847,0.6016998574992514
Clade1,Clade1_2068,24.403361344537814,0.5740999246895346,0.543724820759625,0.6030514064096273
Clade1,Clade1_2068,24.58823529411765,0.5758929942397181,0.5458200905148621,0.6044107368480347
Clade1,Clade1_2068,24.77310924369748,0.5776218171992757,0.5478541057060105,0.6056845339382546
Clade1,Clade1_2068,24.95798319327731,0.5793177336300442,0.5500098097841457,0.6071171875084101
Clade1,Clade1_2068,25.142857142857142,0.5809595022957088,0.5519907021127516,0.6084523568208546
Clade1,Clade1_2068,25.327731092436974,0.5826030295278533,0.5540279051928971,0.6099141457989767
Clade1,Clade1_2068,25.51260504201681,0.5841867971999752,0.5559169010558913,0.6112864477732113
Clade1,Clade1_2068,25.69747899159664,0.5857939431200057,0.5577843975876279,0.6125813166705333
Clade1,Clade1_2068,25.88235294117647,0.5873919582151255,0.559619347452502,0.6139307296697422
Clade1,Clade1_2068,26.067226890756302,0.5889389011998148,0.5614717638944243,0.6152037981152282
Clade1,Clade1_2068,26.252100840336134,0.5904512099836243,0.5632003209043083,0.6164461157193487
Clade1,Clade1_2068,26.436974789915965,0.5919417981056223,0.5649853360679471,0.6176463882265193
Clade1,Clade1_2068,26.6218487394958,0.5934184430701226,0.566706087383076,0.6188905053492246
Clade1,Clade1_2068,26.80672268907563,0.5948169363643643,0.5682671595835822,0.6200816137912967
Clade1,Clade1_2068,26.991596638655462,0.5961992254629735,0.5697740045578118,0.6213183750633563
Clade1,Clade1_2068,27.176470588235293,0.5975151444041168,0.5712852127648095,0.6225778731638836
Clade1,Clade1_2068,27.36134453781513,0.5988422852010828,0.5726536026436402,0.6237268758046864
Clade1,Clade1_2068,27.54621848739496,0.6000334636068456,0.5741243004276023,0.6247377992941883
Clade1,Clade1_2068,27.73109243697479,0.6012151142581856,0.5754123135719317,0.625843119741765
Clade1,Clade1_2068,27.915966386554622,0.6023801817573883,0.5767203954546963,0.6268916196235135
Clade1,Clade1_2068,28.100840336134453,0.6034934115505979,0.577894643499557,0.6278449518856672
Clade1,Clade1_2068,28.285714285714285,0.6046135726225541,0.5789780184952638,0.6288382417493975
Clade1,Clade1_2068,28.470588235294116,0.6056029535191723,0.5801214313097449,0.6297543713960645
Clade1,Clade1_2068,28.65546218487395,0.6065677176660288,0.5810701953283536,0.630627927236452
Clade1,Clade1_2068,28.840336134453782,0.6074401703127514,0.5820139946016226,0.6314561397491548
Clade1,Clade1_2068,29.025210084033613,0.6083024260548331,0.5829814944278303,0.6322073875945395
Clade1,Clade1_2068,29.210084033613445,0.6090819623914288,0.5838001015901966,0.6328546024334333
Clade1,Clade1_2068,29.39495798319328,0.6098135060599945,0.584564977072118,0.633470117707665
Clade1,Clade1_2068,29.57983193277311,0.6104673506943095,0.5852319257835616,0.6340667012582641
Clade1,Clade1_2068,29.764705882352942,0.6110693761533038,0.5859184141988807,0.6346076886935135
Clade1,Clade1_2068,29.949579831932773,0.6115628697959674,0.5864903153099513,0.6350261411018976
Clade1,Clade1_2068,30.134453781512605,0.611979573088768,0.5869922459426624,0.635386857215022
Clade1,Clade1_2068,30.319327731092436,0.6123832292511954,0.5874102419809163,0.6356352836537364
Clade1,Clade1_2068,30.504201680672267,0.6126503982748339,0.5877855918539671,0.6359075852071282
Clade1,Clade1_2068,30.689075630252102,0.6128408310253912,0.5881126168394544,0.6360270126738831
Clade1,Clade1_2068,30.873949579831933,0.6130043489904429,0.5883797791014298,0.6361371614095467
Clade1,Clade1_2068,31.058823529411764,0.6130941268886364,0.5885273234913675,0.6361397128650459
Clade1,Clade1_2068,31.2436974789916,0.6130427419774588,0.5886566728858948,0.6360686056402318
Clade1,Clade1_2068,31.42857142857143,0.61291676354001,0.5885830829708741,0.6359914507655121
Clade1,Clade1_2068,31.613445378151262,0.6126899076757062,0.5884673742426131,0.6356820369837141
Clade1,Clade1_2068,31.798319327731093,0.6123901570332273,0.5881890724763945,0.6353023939568931
Clade1,Clade1_2068,31.983193277310924,0.6119461572388679,0.5878291317222457,0.6348314035629248
Clade1,Clade1_2068,32.168067226890756,0.6114039628138859,0.5872826013835796,0.6341258448406045
Clade1,Clade1_2068,32.35294117647059,0.6106753001869971,0.5867069122288423,0.6334264581298025
Clade1,Clade1_2068,32.53781512605042,0.6098981145261881,0.5859455304430933,0.632784927552904
Clade1,Clade1_2068,32.72268907563026,0.6090200600271506,0.5849895192064078,0.6319088316108653
Clade1,Clade1_2068,32.90756302521008,0.6080237397785029,0.5839717551482709,0.6308372966114343
Clade1,Clade1_2068,33.09243697478992,0.6069010941834161,0.5828492843700148,0.6296713645940913
Clade1,Clade1_2068,33.27731092436975,0.6056562438374888,0.5815667064828782,0.6284497144535462
Clade1,Clade1_2068,33.46218487394958,0.6042813136421956,0.5800779621972463,0.6270524379726858
Clade1,Clade1_2068,33.64705882352941,0.602745714505562,0.5785336586202807,0.62559833845360735
Clade1,Clade1_2068,33.831932773109244,0.6010803407762482,0.5768009780660798,0.6239895404112752
Clade1,Clade1_2068,34.016806722689076,0.5993103005019811,0.5748018691493283,0.6222112356213191
Clade1,Clade1_2068,34.20168067226891,0.5973581315488936,0.5728391076487843,0.6203531064979981
Clade1,Clade1_2068,34.38655462184874,0.5952721267802736,0.5706134586222468,0.6183431239199063
Clade1,Clade1_2068,34.57142857142857,0.5930097676805567,0.568202772349011,0.6162346385788933
Clade1,Clade1_2068,34.75630252100841,0.590654405392381,0.565751342611978,0.6139724400433232
Clade1,Clade1_2068,34.94117647058823,0.5880950787252508,0.5630658088839698,0.6115789230802238
Clade1,Clade1_2068,35.12605042016807,0.5854085478805046,0.5601532922450962,0.6091013541342924
