T,OTU,Replicate,clade,respiration_fgC_h,resp_corr,cue_pipe,cue_corr,growth_fgC_h,resp_swing,cue_swing
22,1,R1,clade1,430.3667516425324,419.77048416642765,0.43563714843968376,0.44177582234114804,332.20426176254995,-2.462148257425356,1.4091254438358014
22,1,R2,clade1,310.32683245728657,312.0219180131142,0.563358033176447,0.5620175922500533,400.38550404766875,0.546225907184783,-0.23793766085763446
22,1,R3,clade1,362.0080034787563,357.015861747326,0.5128957281979725,0.5163642693845399,381.1757960381699,-1.3790141884869156,0.6762663434054961
22,1,R4,clade1,348.7743437422137,339.52007274409004,0.510563138966994,0.517280841218243,363.82900003963823,-2.653369195345312,1.3157436835022462
22,1,R5,clade1,311.59459890277856,309.13450149892526,0.5515853331328207,0.5535450582945349,383.2858809881102,-0.7895186285372335,0.35528957062431754
22,2,R1,clade1,544.8714430258533,506.398425946033,0.35752322572258943,0.37451295571191023,303.2081527520122,-7.060934753006465,4.752063297421549
22,2,R2,clade1,382.1845826162799,376.8123618848998,0.49821177010402934,0.501750841012008,379.4605892832549,-1.405661289266058,0.7103547367497187
22,2,R3,clade1,335.1970606760316,342.15567256603566,0.554935388961563,0.5498550383536874,417.9454097934596,2.075976405034652,-0.9154850652762225
22,2,R4,clade1,873.812172232432,797.3248406861064,0.25546935211009913,0.2732792160878777,299.8294699335852,-8.753292066293184,6.971428795929735
22,2,R5,clade1,556.9065028679968,527.671371840757,0.3563662509206883,0.3688281914064032,308.3472282556831,-5.249558207110628,3.496947439191822
22,3,R1,clade1,285.4422206707141,286.93491991650757,0.5787635285782983,0.5774914158409183,392.1871871232673,0.5229426965240203,-0.21979835884006205
22,3,R2,clade1,298.09617309942223,300.0537257619348,0.5739203061958209,0.5723189570882218,401.5292196009948,0.6566849356565374,-0.27901941964966204
22,3,R3,clade1,306.9763669408397,300.49604944687644,0.5494617110545351,0.5547377840421484,374.3783025132308,-2.1110151112095576,0.9602257776046619
22,3,R4,clade1,339.3935320698024,333.7566513005492,0.5238704159403954,0.5280461451809226,373.42403573609806,-1.6608686485203417,0.7970920123502978
22,3,R5,clade1,314.1910666910794,311.07853758986846,0.5498759153613602,0.5523388758842492,383.8188319423438,-0.9906485037880719,0.44791205689933555
22,4,R1,clade2,345.170001681159,360.8511333004034,0.4243671380591623,0.4135522914006689,254.46567672219604,4.543016931618915,-2.548464687429608
22,4,R2,clade2,396.5269922252338,417.6072923215455,0.3925921796859392,0.380311459827511,256.29139266189054,5.316233323238118,-3.1281111784377202
22,4,R3,clade2,451.9780012546598,462.14640105991515,0.3340424037667204,0.32911151762294033,226.71085793260823,2.2497554697415767,-1.4761258116270715
22,4,R4,clade2,340.4250736652747,367.4627094575743,0.44266250636608545,0.4238984279295676,270.38090575243496,7.942316205205424,-4.238912979225717
22,4,R5,clade2,357.4287897544032,375.6622564756776,0.4084837841422862,0.3965188527155354,246.8298597504497,5.101286534250082,-2.929108055506824
22,5,R1,clade2,349.6317261458558,351.9029425564155,0.35398596599379784,0.3525066635764772,191.5820985409607,0.6496024933424493,-0.4178986059991341
22,5,R2,clade2,396.3859004704128,393.2143988049853,0.31030783934542794,0.31202969986661105,178.3428308148775,-0.8001045601429668,0.5548878574306304
22,5,R3,clade2,402.01843301059125,398.46443976632713,0.30690185462375325,0.30879391110366816,178.0125996685634,-0.8840373854624994,0.6165021329814113
22,5,R4,clade2,762.2845630767944,708.5421114546494,0.1280524471579758,0.1364399414306188,111.9475631470886,-7.0501823367936645,6.550046062216608
