T,OTU,Replicate,drawdown
38.0,2,R1,5.82
38.0,2,R2,6.75
38.0,2,R3,6.6
38.0,2,R4,5.680000000000001
38.0,2,R5,6.8999999999999995
38.0,3,R1,6.5
38.0,3,R2,7.119999999999999
38.0,3,R3,6.64
38.0,3,R4,5.56
38.0,3,R5,6.68
38.0,4,R1,6.54
38.0,4,R2,6.819999999999999
38.0,4,R3,6.909999999999999
38.0,4,R4,6.73
38.0,4,R5,7.449999999999999
38.0,5,R1,6.800000000000001
38.0,5,R2,7.159999999999999
38.0,5,R3,7.110000000000001
38.0,5,R4,7.03
38.0,5,R5,6.8100000000000005
38.0,6,R1,6.43
38.0,6,R2,6.91
38.0,6,R3,6.859999999999998
38.0,6,R4,5.23
38.0,6,R5,6.9
38.0,7,R1,7.18
38.0,7,R2,7.289999999999999
38.0,7,R3,7.460000000000001
38.0,7,R4,7.0
38.0,7,R5,7.290000000000001
38.0,8,R1,7.470000000000001
38.0,8,R2,7.6
38.0,8,R3,7.02
38.0,8,R4,7.0600000000000005
38.0,8,R5,7.21
38.0,9,R1,7.340000000000001
38.0,9,R2,7.380000000000001
38.0,9,R3,7.579999999999999
38.0,9,R4,7.210000000000001
38.0,9,R5,7.58
38.0,10,R1,6.93
38.0,10,R2,7.11
38.0,10,R3,6.58
38.0,10,R4,6.43
38.0,10,R5,6.4799999999999995
38.0,11,R1,6.45
38.0,11,R2,6.5
38.0,11,R3,6.729999999999998
38.0,11,R4,6.91
38.0,11,R5,6.809999999999998
38.0,12,R1,6.910000000000001
38.0,12,R2,6.960000000000001
38.0,12,R3,6.609999999999999
38.0,12,R4,6.5
38.0,12,R5,6.59
38.0,13,R1,7.61
38.0,13,R2,7.369999999999999
38.0,13,R3,7.6499999999999995
38.0,13,R4,7.449999999999999
38.0,13,R5,7.0600000000000005
38.0,14,R1,7.45
38.0,14,R2,7.51
38.0,14,R3,7.299999999999999
38.0,14,R4,8.32
38.0,14,R5,7.43
38.0,15,R1,7.579999999999999
38.0,15,R2,7.32
38.0,15,R3,7.62
38.0,15,R4,7.300000000000001
38.0,15,R5,7.51
38.0,16,R1,7.160000000000001
38.0,16,R2,6.25
38.0,16,R3,6.82
38.0,16,R4,5.91
38.0,16,R5,6.82
38.0,17,R1,7.27
38.0,17,R2,5.84
38.0,17,R3,6.75
38.0,17,R4,6.799999999999999
38.0,17,R5,6.97
38.0,18,R1,7.03
38.0,18,R2,7.0600000000000005
38.0,18,R3,6.98
38.0,18,R4,5.8999999999999995
38.0,18,R5,7.5200000000000005
38.0,19,R1,7.18
38.0,19,R2,6.890000000000001
38.0,19,R3,6.96
38.0,19,R4,7.1000000000000005
38.0,19,R5,7.26
38.0,20,R1,7.279999999999999
38.0,20,R2,6.53
38.0,20,R3,7.01
38.0,20,R4,6.31
38.0,20,R5,3.86
38.0,21,R1,1.2799999999999994
38.0,21,R2,0.5300000000000002
38.0,21,R3,2.7399999999999993
38.0,21,R4,4.1000000000000005
38.0,21,R5,3.5599999999999996
38.0,22,R1,6.35
38.0,22,R2,6.390000000000001
38.0,22,R3,4.52
38.0,22,R4,5.02
38.0,22,R5,6.86
38.0,23,R1,6.550000000000001
38.0,23,R2,6.6
38.0,23,R3,6.619999999999999
38.0,23,R4,6.75
38.0,23,R5,6.12
40.0,1,R1,7.470000000000001
40.0,1,R2,6.729999999999998
40.0,1,R3,7.08
40.0,1,R4,6.1
40.0,1,R5,5.68
40.0,2,R1,5.36
40.0,2,R2,7.4399999999999995
40.0,2,R3,6.73
40.0,2,R4,5.58
40.0,2,R5,6.4
40.0,3,R1,7.21
40.0,3,R2,6.23
40.0,3,R3,6.57
40.0,3,R4,7.03
40.0,3,R5,5.55
40.0,4,R1,7.859999999999999
40.0,4,R2,7.5
40.0,4,R3,7.06
40.0,4,R4,6.71
40.0,4,R5,7.1
40.0,5,R1,7.25
40.0,5,R2,7.12
40.0,5,R3,7.430000000000001
40.0,5,R4,7.36
40.0,5,R5,7.29
40.0,6,R1,6.490000000000001
40.0,6,R2,4.660000000000001
40.0,6,R3,7.4399999999999995
40.0,6,R4,7.410000000000001
40.0,6,R5,6.05
40.0,7,R1,6.76
40.0,7,R2,6.83
40.0,7,R3,6.470000000000001
40.0,7,R4,6.529999999999999
40.0,7,R5,6.62
40.0,8,R1,6.890000000000001
40.0,8,R2,6.680000000000001
40.0,8,R3,6.739999999999999
40.0,8,R4,6.73
40.0,8,R5,5.52
40.0,9,R1,7.24
40.0,9,R2,7.18
40.0,9,R3,7.1499999999999995
40.0,9,R4,7.059999999999999
40.0,9,R5,5.21
40.0,10,R1,7.32
40.0,10,R2,6.98
40.0,10,R3,7.1899999999999995
40.0,10,R4,7.119999999999999
40.0,10,R5,6.869999999999999
40.0,11,R1,6.890000000000001
40.0,11,R2,7.059999999999998
40.0,11,R3,7.21
40.0,11,R4,7.260000000000001
40.0,11,R5,6.959999999999999
40.0,12,R1,7.029999999999999
40.0,12,R2,7.129999999999999
40.0,12,R3,6.989999999999999
40.0,12,R4,6.82
40.0,12,R5,6.9
40.0,13,R1,5.57
40.0,13,R2,7.34
40.0,13,R3,5.66
40.0,13,R4,7.39
40.0,13,R5,6.8100000000000005
40.0,14,R1,7.66
40.0,14,R2,7.5
40.0,14,R3,5.12
40.0,14,R4,7.790000000000001
40.0,14,R5,6.3999999999999995
40.0,15,R1,7.74
40.0,15,R2,7.95
40.0,15,R3,7.9399999999999995
40.0,15,R4,6.840000000000001
40.0,15,R5,7.41
40.0,16,R1,6.619999999999999
40.0,16,R3,2.24
40.0,16,R4,5.920000000000001
40.0,17,R1,6.17
40.0,17,R2,4.28
40.0,17,R3,6.33
40.0,17,R4,5.58
40.0,17,R5,6.140000000000001
40.0,18,R1,1.7000000000000002
40.0,18,R2,3.05
40.0,18,R3,5.710000000000001
40.0,18,R4,5.49
40.0,18,R5,5.93
40.0,19,R1,6.41
40.0,19,R2,6.709999999999999
40.0,19,R3,6.869999999999999
40.0,19,R4,6.96
40.0,19,R5,7.0
40.0,20,R1,0.41000000000000014
40.0,20,R2,1.1600000000000001
40.0,20,R3,0.9900000000000002
40.0,20,R4,0.7699999999999996
40.0,20,R5,0.6699999999999999
40.0,21,R1,0.5400000000000009
40.0,21,R2,0.6199999999999992
40.0,21,R4,0.33999999999999986
40.0,21,R5,0.7099999999999991
40.0,22,R1,0.45999999999999996
40.0,22,R2,1.0199999999999996
40.0,22,R3,0.39999999999999947
40.0,22,R5,1.2000000000000002
40.0,23,R1,1.950000000000001
40.0,23,R2,2.41
40.0,23,R3,2.09
40.0,23,R4,2.8
40.0,23,R5,0.6200000000000001
42.0,1,R1,6.76
42.0,1,R2,6.040000000000001
42.0,1,R3,6.660000000000001
42.0,1,R4,6.13
42.0,1,R5,6.470000000000001
42.0,2,R1,5.97
42.0,2,R2,6.679999999999998
42.0,2,R3,5.36
42.0,2,R4,5.55
42.0,2,R5,5.7700000000000005
42.0,3,R1,6.71
42.0,3,R2,6.879999999999997
42.0,3,R3,6.88
42.0,3,R4,6.680000000000001
42.0,3,R5,6.74
42.0,4,R1,6.82
42.0,4,R2,5.39
42.0,4,R3,6.36
42.0,4,R4,5.95
42.0,4,R5,6.029999999999999
42.0,5,R1,6.59
42.0,5,R2,5.449999999999999
42.0,5,R3,6.3
42.0,5,R4,5.58
42.0,5,R5,6.67
42.0,6,R1,5.34
42.0,6,R2,6.969999999999999
42.0,6,R3,5.0600000000000005
42.0,6,R4,6.300000000000001
42.0,6,R5,6.040000000000001
42.0,7,R1,6.82
42.0,7,R2,4.700000000000001
42.0,7,R3,5.930000000000001
42.0,7,R4,6.88
42.0,7,R5,6.789999999999999
42.0,8,R1,6.9799999999999995
42.0,8,R2,7.109999999999999
42.0,8,R3,7.3500000000000005
42.0,8,R4,7.01
42.0,8,R5,7.33
42.0,9,R1,6.92
42.0,9,R2,7.460000000000001
42.0,9,R3,6.940000000000001
42.0,9,R4,7.519999999999998
42.0,9,R5,7.639999999999999
42.0,10,R1,6.919999999999999
42.0,10,R2,6.3100000000000005
42.0,10,R3,7.140000000000001
42.0,10,R4,5.890000000000001
42.0,10,R5,6.609999999999999
42.0,11,R1,6.359999999999999
42.0,11,R2,6.51
42.0,11,R3,6.34
42.0,11,R4,7.0
42.0,11,R5,4.98
42.0,12,R1,6.46
42.0,12,R2,6.140000000000001
42.0,12,R3,5.66
42.0,12,R4,6.229999999999998
42.0,12,R5,6.41
42.0,13,R1,3.9000000000000012
42.0,13,R2,3.700000000000001
42.0,13,R3,3.83
42.0,13,R4,3.6999999999999993
42.0,13,R5,3.8499999999999996
42.0,14,R1,6.0
42.0,14,R2,5.48
42.0,14,R3,7.289999999999999
42.0,14,R4,7.499999999999999
42.0,14,R5,7.629999999999999
42.0,15,R1,7.73
42.0,15,R2,7.51
42.0,15,R3,5.91
42.0,15,R4,7.1899999999999995
42.0,15,R5,7.380000000000001
42.0,16,R2,1.3699999999999992
42.0,16,R4,1.950000000000001
42.0,17,R2,3.3199999999999994
42.0,17,R3,1.9800000000000004
42.0,17,R4,4.99
42.0,17,R5,4.55
42.0,18,R2,0.2599999999999998
42.0,18,R3,1.2500000000000009
42.0,18,R4,1.169999999999999
42.0,18,R5,0.620000000000001
42.0,19,R1,4.99
42.0,19,R2,7.02
42.0,19,R3,6.6
42.0,19,R4,7.040000000000001
42.0,19,R5,5.61
42.0,20,R1,0.3000000000000007
42.0,20,R2,0.5800000000000001
42.0,20,R3,0.33000000000000007
42.0,20,R4,0.33000000000000007
42.0,20,R5,0.3699999999999992
42.0,21,R1,0.6599999999999984
42.0,21,R2,0.6099999999999994
42.0,21,R3,0.23000000000000043
42.0,21,R4,0.7299999999999986
42.0,21,R5,0.5600000000000005
42.0,22,R1,0.25
42.0,22,R3,0.35999999999999943
42.0,22,R4,0.35999999999999943
42.0,23,R1,0.3200000000000003
42.0,23,R2,0.39000000000000057
42.0,23,R3,0.1200000000000001
42.0,23,R4,0.4800000000000004
42.0,23,R5,0.35999999999999943
44.0,1,R1,6.109999999999998
44.0,1,R2,5.9
44.0,1,R3,5.8100000000000005
44.0,1,R4,6.28
44.0,1,R5,6.470000000000001
44.0,2,R1,5.24
44.0,2,R2,5.999999999999998
44.0,2,R3,5.59
44.0,2,R4,5.42
44.0,2,R5,6.570000000000001
44.0,3,R1,5.21
44.0,3,R2,6.92
44.0,3,R3,7.029999999999998
44.0,3,R4,5.02
44.0,3,R5,6.3500000000000005
44.0,4,R1,1.9800000000000004
44.0,4,R2,1.9500000000000002
44.0,4,R3,3.9499999999999993
44.0,4,R4,4.69
44.0,4,R5,4.129999999999999
44.0,5,R1,1.3899999999999997
44.0,5,R2,2.4499999999999993
44.0,5,R3,3.6999999999999993
44.0,5,R4,3.299999999999999
44.0,5,R5,3.67
44.0,6,R1,0.8399999999999999
44.0,6,R2,1.33
44.0,6,R3,1.0699999999999994
44.0,6,R5,2.1499999999999995
44.0,7,R1,6.859999999999999
44.0,7,R2,2.8600000000000003
44.0,7,R3,6.229999999999997
44.0,7,R4,5.840000000000001
44.0,7,R5,6.38
44.0,8,R1,6.620000000000001
44.0,8,R2,5.2
44.0,8,R3,6.52
44.0,8,R4,6.760000000000001
44.0,8,R5,5.65
44.0,9,R1,6.73
44.0,9,R2,6.909999999999999
44.0,9,R3,6.9399999999999995
44.0,9,R4,7.1
44.0,9,R5,6.129999999999999
44.0,10,R1,6.78
44.0,10,R2,6.62
44.0,10,R3,6.630000000000001
44.0,10,R4,6.359999999999999
44.0,10,R5,6.67
44.0,11,R1,4.92
44.0,11,R2,7.1000000000000005
44.0,11,R3,6.47
44.0,11,R4,6.8500000000000005
44.0,11,R5,6.75
44.0,12,R1,1.219999999999997
44.0,12,R2,5.7399999999999975
44.0,12,R3,6.969999999999999
44.0,12,R4,6.8100000000000005
44.0,12,R5,3.75
44.0,13,R1,0.5199999999999996
44.0,13,R2,0.9199999999999999
44.0,13,R3,0.6100000000000012
44.0,13,R4,0.7400000000000002
44.0,13,R5,0.9400000000000013
44.0,14,R1,6.880000000000001
44.0,14,R2,4.700000000000001
44.0,14,R3,5.540000000000001
44.0,14,R4,6.629999999999999
44.0,14,R5,6.450000000000001
44.0,15,R1,7.749999999999999
44.0,15,R2,7.42
44.0,15,R3,8.32
44.0,15,R4,7.120000000000001
44.0,15,R5,7.3999999999999995
44.0,16,R2,1.0700000000000003
44.0,16,R3,0.7300000000000004
44.0,16,R4,0.14999999999999947
44.0,16,R5,0.879999999999999
44.0,17,R1,0.9900000000000002
44.0,17,R4,1.5199999999999996
44.0,17,R5,0.29000000000000004
44.0,18,R2,0.33000000000000007
44.0,18,R3,0.8800000000000008
44.0,18,R4,0.379999999999999
44.0,18,R5,0.34999999999999964
44.0,19,R1,6.53
44.0,19,R2,6.9399999999999995
44.0,19,R3,6.85
44.0,19,R4,6.640000000000001
44.0,19,R5,6.760000000000001
44.0,20,R1,0.9000000000000004
44.0,20,R2,0.5399999999999991
44.0,20,R3,1.7199999999999998
44.0,20,R4,0.09999999999999964
44.0,20,R5,0.25
44.0,21,R1,0.34999999999999964
44.0,21,R3,0.620000000000001
44.0,21,R4,0.34999999999999964
44.0,21,R5,0.8699999999999992
44.0,22,R1,0.2999999999999998
44.0,22,R2,0.9500000000000002
44.0,22,R3,0.3700000000000001
44.0,22,R4,0.3899999999999997
44.0,22,R5,0.5500000000000007
44.0,23,R1,0.5199999999999996
44.0,23,R3,0.4899999999999993
44.0,23,R4,0.6600000000000001
44.0,23,R5,0.46999999999999975
