T,OTU,Replicate,drawdown
24.0,15,R1,2.1399999999999997
24.0,15,R2,7.85
24.0,15,R3,2.9099999999999997
24.0,15,R4,5.19
24.0,15,R5,8.22
24.0,16,R1,7.449999999999999
24.0,16,R2,7.24
24.0,16,R3,8.19
24.0,16,R4,8.530000000000001
24.0,16,R5,7.850000000000001
24.0,17,R1,7.619999999999999
24.0,17,R2,8.32
24.0,17,R3,6.970000000000001
24.0,17,R4,8.75
24.0,17,R5,8.45
24.0,18,R1,7.44
24.0,18,R2,8.35
24.0,18,R3,8.41
24.0,18,R4,7.44
24.0,18,R5,8.82
24.0,19,R1,7.98
24.0,19,R2,7.330000000000001
24.0,19,R3,6.949999999999999
24.0,19,R4,7.75
24.0,19,R5,7.4
24.0,20,R1,7.99
24.0,20,R2,8.16
24.0,20,R3,7.000000000000001
24.0,20,R4,7.09
24.0,20,R5,7.970000000000001
24.0,21,R1,8.55
24.0,21,R2,7.32
24.0,21,R3,8.35
24.0,21,R4,8.280000000000001
24.0,21,R5,8.16
24.0,22,R1,6.529999999999999
24.0,22,R2,6.5200000000000005
24.0,22,R3,6.41
24.0,22,R4,6.34
24.0,22,R5,5.4799999999999995
24.0,23,R1,5.7299999999999995
24.0,23,R2,6.05
24.0,23,R3,6.500000000000001
24.0,23,R4,6.16
24.0,23,R5,6.98
26.0,1,R1,2.6799999999999997
26.0,1,R2,7.17
26.0,1,R3,6.97
26.0,1,R4,7.7700000000000005
26.0,1,R5,2.6500000000000004
26.0,2,R1,2.1700000000000004
26.0,2,R2,1.9300000000000002
26.0,2,R3,6.28
26.0,2,R4,7.83
26.0,2,R5,1.9
26.0,3,R1,6.979999999999999
26.0,3,R2,7.050000000000001
26.0,3,R3,7.630000000000001
26.0,3,R4,3.5300000000000002
26.0,3,R5,3.74
26.0,4,R1,2.8800000000000003
26.0,4,R2,1.2299999999999998
26.0,4,R3,7.34
26.0,4,R4,7.67
26.0,4,R5,2.6700000000000004
26.0,5,R1,2.38
26.0,5,R2,2.91
26.0,5,R3,3.1800000000000006
26.0,5,R4,7.680000000000001
26.0,5,R5,3.25
26.0,6,R1,2.03
26.0,6,R2,1.5399999999999996
26.0,6,R3,1.5699999999999998
26.0,6,R4,6.780000000000001
26.0,6,R5,6.59
26.0,7,R1,6.84
26.0,7,R2,8.05
26.0,7,R3,8.09
26.0,7,R4,8.17
26.0,7,R5,8.35
26.0,8,R1,7.979999999999999
26.0,8,R2,8.16
26.0,8,R3,8.08
26.0,8,R4,7.530000000000001
26.0,8,R5,8.48
26.0,9,R1,8.02
26.0,9,R2,8.3
26.0,9,R3,8.43
26.0,9,R4,8.040000000000001
26.0,9,R5,8.58
26.0,10,R1,7.360000000000001
26.0,10,R2,7.23
26.0,10,R3,7.32
26.0,10,R4,7.58
26.0,10,R5,7.35
26.0,11,R1,7.550000000000001
26.0,11,R2,7.5
26.0,11,R3,7.680000000000001
26.0,11,R4,7.49
26.0,11,R5,7.8
26.0,12,R1,7.59
26.0,12,R2,7.470000000000001
26.0,12,R3,7.84
26.0,12,R4,7.93
26.0,12,R5,7.6899999999999995
26.0,13,R1,8.14
26.0,13,R2,7.65
26.0,13,R3,7.43
26.0,13,R4,7.6
26.0,13,R5,3.1100000000000003
26.0,14,R1,3.3899999999999997
26.0,14,R2,6.059999999999999
26.0,14,R3,2.49
26.0,14,R4,4.73
26.0,14,R5,6.859999999999999
26.0,15,R1,8.01
26.0,15,R2,7.969999999999999
26.0,15,R3,2.54
26.0,15,R4,8.01
26.0,15,R5,8.06
26.0,16,R1,7.879999999999999
26.0,16,R2,7.41
26.0,16,R3,8.0
26.0,16,R4,7.229999999999999
26.0,16,R5,7.300000000000001
26.0,17,R1,7.66
26.0,17,R2,7.99
26.0,17,R3,7.710000000000001
26.0,17,R4,7.7700000000000005
26.0,17,R5,7.610000000000001
26.0,18,R1,7.970000000000001
26.0,18,R2,7.4
26.0,18,R3,8.32
26.0,18,R4,7.74
26.0,18,R5,7.449999999999999
26.0,19,R1,7.74
26.0,19,R2,8.05
26.0,19,R3,7.26
26.0,19,R4,8.309999999999999
26.0,19,R5,8.17
26.0,20,R1,8.39
26.0,20,R2,7.75
26.0,20,R3,8.06
26.0,20,R4,7.93
26.0,20,R5,8.02
26.0,21,R1,8.25
26.0,21,R2,8.239999999999998
26.0,21,R3,8.26
26.0,21,R4,8.31
26.0,21,R5,8.34
26.0,22,R1,7.210000000000001
26.0,22,R2,7.36
26.0,22,R3,7.62
26.0,22,R4,7.459999999999999
26.0,22,R5,7.48
26.0,23,R1,7.41
26.0,23,R2,7.68
26.0,23,R3,7.58
26.0,23,R4,7.76
26.0,23,R5,7.31
28.0,1,R1,7.9
28.0,1,R2,6.700000000000001
28.0,1,R3,7.630000000000001
28.0,1,R4,7.52
28.0,1,R5,6.910000000000001
28.0,2,R1,7.51
28.0,2,R2,7.460000000000001
28.0,2,R3,7.6899999999999995
28.0,2,R4,7.46
28.0,2,R5,7.54
28.0,3,R1,7.750000000000001
28.0,3,R2,7.76
28.0,3,R3,6.720000000000001
28.0,3,R4,7.619999999999999
28.0,3,R5,6.720000000000001
28.0,4,R1,7.680000000000001
28.0,4,R2,6.960000000000001
28.0,4,R3,7.7700000000000005
28.0,4,R4,8.129999999999999
28.0,4,R5,8.229999999999999
28.0,5,R1,7.74
28.0,5,R2,7.77
28.0,5,R3,7.159999999999999
28.0,5,R4,6.299999999999999
28.0,5,R5,7.300000000000001
28.0,6,R1,7.6899999999999995
28.0,6,R2,8.09
28.0,6,R3,7.07
28.0,6,R4,7.33
28.0,6,R5,6.7700000000000005
28.0,7,R1,8.010000000000002
28.0,7,R2,7.460000000000001
28.0,7,R3,7.75
28.0,7,R4,7.709999999999999
28.0,7,R5,6.700000000000001
28.0,8,R1,8.26
28.0,8,R2,7.840000000000001
28.0,8,R3,7.72
28.0,8,R4,7.890000000000001
28.0,8,R5,6.590000000000001
28.0,9,R1,7.779999999999999
28.0,9,R2,8.360000000000001
28.0,9,R3,7.75
28.0,9,R4,7.6899999999999995
28.0,9,R5,7.739999999999999
28.0,10,R1,8.13
28.0,10,R2,7.889999999999999
28.0,10,R3,7.989999999999999
28.0,10,R4,8.120000000000001
28.0,10,R5,7.710000000000001
28.0,11,R1,7.870000000000001
28.0,11,R2,7.969999999999999
28.0,11,R3,7.85
28.0,11,R4,8.100000000000001
28.0,11,R5,7.9
28.0,12,R1,8.540000000000001
28.0,12,R2,6.8100000000000005
28.0,12,R3,8.19
28.0,12,R4,7.9399999999999995
28.0,12,R5,8.33
28.0,13,R1,7.029999999999999
28.0,13,R2,8.81
28.0,13,R3,5.339999999999999
28.0,13,R4,6.66
28.0,13,R5,8.129999999999999
28.0,14,R1,6.009999999999998
28.0,14,R2,8.42
