"gene","logFC","logCPM","PValue","FDR","is_metab"
"CJI97_001151",-10.937307665701,5.18833961164465,0,0,TRUE
"CJI97_004977",-5.93864517830507,8.12792881782832,0,0,FALSE
"CJI97_001150",-3.78008142664327,4.84779157396359,8.26646059255199e-244,1.48686071191369e-240,TRUE
"CJI97_002130",11.8290019388593,4.91296965975147,6.28721912482191e-178,8.48145859938476e-175,FALSE
"CJI97_004538",-3.71045448004141,2.36504628004312,5.37679551582802e-169,5.8026377206816e-166,FALSE
"CJI97_000008",-3.96758332783017,3.16079617943834,3.56560881575119e-150,3.20667086163223e-147,FALSE
"CJI97_005089",-2.8441221852107,7.46439945813388,5.43048659954748e-149,4.18612938445117e-146,FALSE
"CJI97_000658",-3.80864886439982,5.76432552666662,1.70407809956117e-146,1.14940067815401e-143,FALSE
"CJI97_004556",7.25703016545994,3.00524341185854,1.16320985974635e-144,6.9740893368792e-142,FALSE
"CJI97_004560",9.95179883411931,6.40689507514386,2.81266145913863e-140,1.51771212335121e-137,FALSE
"CJI97_001843",-3.15259729963253,5.90526348658839,1.16055853425196e-132,5.69306713711233e-130,FALSE
"CJI97_004555",10.5638799709362,6.1479157781708,1.22876300053238e-127,5.52533762572725e-125,TRUE
"CJI97_001781",8.656214858528,3.32471212719512,1.87785386986328e-126,7.79453806290942e-124,FALSE
"CJI97_005622",5.84161465567426,5.86027746128282,8.21279792669665e-126,3.16544697231822e-123,FALSE
"CJI97_001951",-4.57966408046005,2.99400459862122,8.81119243142268e-126,3.16967962399712e-123,FALSE
"CJI97_004566",8.75971438307399,3.71996549252231,1.79806739509183e-125,6.06398228994719e-123,TRUE
"CJI97_002132",11.0235637415903,2.52547083801021,8.10600014513192e-125,2.57293981077246e-122,TRUE
"CJI97_004220",-2.39418612897506,4.68044807978958,1.0911262130583e-123,3.27095391425701e-121,TRUE
"CJI97_001952",-3.50333024189285,8.67272996823599,1.36685569969952e-119,3.88187018714663e-117,FALSE
"CJI97_000877",-3.6407248955697,3.95320489940491,4.03794743651396e-119,1.08943821837147e-116,FALSE
"CJI97_000350",-3.12116937185466,5.45879136755502,6.2716988965401e-119,1.6115279640824e-116,TRUE
"CJI97_001780",7.99470350905119,2.3021384055415,3.60201976751828e-117,8.83477212069483e-115,TRUE
"CJI97_004553",8.9366801639174,4.34734371080837,1.64764354360172e-112,3.86551502664125e-110,FALSE
"CJI97_004978",9.80835297911316,4.77036214322804,2.19729595813089e-109,4.94025374586429e-107,FALSE
"CJI97_004904",-2.19256270389221,5.60457757936815,1.96196195065338e-104,4.23469867429026e-102,FALSE
"CJI97_001786",12.8345492085402,9.198032815085,6.77926990128552e-104,1.4069592456668e-101,TRUE
"CJI97_001762",-4.68134100268645,2.93663840196131,8.16158594213119e-99,1.63110806458296e-96,FALSE
"CJI97_004569",8.63790362138079,4.03912267611641,3.15380102476317e-94,6.07782511772217e-92,FALSE
"CJI97_002545",-3.44954007890002,4.34373241556831,4.5542030443128e-94,8.47395849210754e-92,FALSE
"CJI97_001089",-2.81936324391629,5.15206458459739,2.20176005841274e-90,3.96023242506505e-88,FALSE
"CJI97_002127",9.60853943780514,3.91098882509209,4.08510386074454e-90,7.11071626857341e-88,TRUE
"CJI97_004170",8.0088688757732,3.41785757815232,2.69272807466517e-85,4.54061271590414e-83,FALSE
"CJI97_000637",-2.51838474823274,6.24491812449938,2.11214896064397e-83,3.45368357322269e-81,FALSE
"CJI97_004861",-2.89919541782271,7.07495949184708,2.27198603871419e-83,3.605775489677e-81,TRUE
"CJI97_004562",8.49691917797521,3.45138543710243,2.9564562458254e-79,4.55801082927824e-77,TRUE
"CJI97_002131",9.59490175368483,3.41079309570363,5.84877616549551e-76,8.76666560805938e-74,FALSE
"CJI97_005626",5.82729029828457,4.88389472182292,8.75480843415031e-76,1.27678233272095e-73,FALSE
"CJI97_001778",8.12057057367682,4.57269298900721,1.2901869384618e-73,1.83206545261575e-71,FALSE
"CJI97_001872",-2.87384046304784,8.76646905278237,2.53352459421133e-72,3.50535864368316e-70,FALSE
"CJI97_004411",-1.61230173748559,5.74121870455764,5.20441279939198e-72,7.02075286637979e-70,FALSE
"CJI97_003821",-1.87132256430847,6.38934861188183,7.73916494724185e-72,1.01854961110529e-69,FALSE
"CJI97_002947",-1.93066036215259,5.83287504122111,2.53708469161421e-70,3.25954976094054e-68,FALSE
"CJI97_000509",-1.60551098502356,6.86414481794464,3.08236901694545e-68,3.86801470126457e-66,FALSE
"CJI97_000935",-2.49054225105506,5.74223387775161,3.48418665225158e-68,4.27287981262489e-66,FALSE
"CJI97_004737",-2.9174066650979,2.72601932251606,8.8990257628953e-68,1.06709206703518e-65,FALSE
"CJI97_005630",-3.18307213956624,1.1824753538956,1.42048019451275e-66,1.66628502817191e-64,FALSE
"CJI97_000015",-4.87425307728807,5.84973588204597,3.80773418949274e-66,4.37160291202187e-64,TRUE
"CJI97_001784",8.48164728950446,3.1456453878062,6.40485843317924e-65,7.200128355299e-63,FALSE
"CJI97_004563",7.8267340945634,3.02971823223818,9.01187419042471e-63,9.92409655745546e-61,FALSE
"CJI97_001782",7.01196258606412,0.847156919705289,2.58843488165204e-61,2.79343892427888e-59,TRUE
"CJI97_001896",-1.7062720586423,5.49551255021115,5.27695445736871e-60,5.58322475528658e-58,FALSE
"CJI97_003118",-4.72015159370608,6.83150992894648,1.03225430601531e-59,1.07116235293435e-57,TRUE
"CJI97_003903",2.697642084475,8.22877674670142,1.76014994613426e-59,1.79203190742273e-57,TRUE
"CJI97_001783",6.02604546880171,1.24087101757345,5.22080345347772e-59,5.21693619166033e-57,TRUE
"CJI97_004677",-2.70663672151061,8.59078972232035,9.17161997024134e-59,8.99819297444041e-57,TRUE
"CJI97_004565",8.43439401276545,1.52240236871905,1.13510642605045e-58,1.09375612053004e-56,FALSE
"CJI97_004547",6.61066669480122,1.57795333262775,2.91286400622379e-58,2.75751125922519e-56,FALSE
"CJI97_003956",2.53950809338748,7.90110046145017,3.1007188830388e-58,2.88473777463403e-56,FALSE
"CJI97_004561",7.6420205372082,4.95550625495627,4.64282455926162e-56,4.24621717318233e-54,FALSE
"CJI97_004349",-3.44551228126728,1.32658873353637,1.07759088501969e-55,9.69113402594373e-54,FALSE
"CJI97_001785",6.30860134874102,1.51131616399915,1.90861410461905e-55,1.68834126369253e-53,TRUE
"CJI97_001852",-2.45249013273825,5.04534320639206,3.42930702477357e-54,2.98460333962551e-52,FALSE
"CJI97_000213",-2.87709248758466,8.3298798596693,1.04800747797696e-52,8.97626722406937e-51,FALSE
"CJI97_004868",-2.47401854306316,3.66377261120095,3.52374592590631e-52,2.97095828377976e-50,FALSE
"CJI97_003274",-2.00125234595463,7.09726684477966,2.66112874817595e-51,2.20914626540884e-49,TRUE
"CJI97_000948",-2.52177931892789,3.2556888787443,3.59106454386507e-51,2.93596731495392e-49,FALSE
"CJI97_004961",-1.73928747540481,8.00274086991397,6.93130886992711e-50,5.58228994957114e-48,FALSE
"CJI97_002009",2.9267881070823,2.79519622057397,3.97197737471357e-49,3.15188086969918e-47,FALSE
"CJI97_004998",-2.43928873893041,10.5984655691323,8.17213862019601e-49,6.39084927457647e-47,TRUE
"CJI97_002153",-1.42491904814867,5.12981175707292,1.32729945238277e-48,1.02315826357963e-46,TRUE
"CJI97_005556",-1.34218842485955,6.70932395858247,3.38814653968693e-48,2.57499137016207e-46,FALSE
"CJI97_004544",8.9093632418301,3.21917198124622,3.59623696476511e-48,2.69517981414896e-46,FALSE
"CJI97_003277",-3.32584219460601,8.20634651576852,6.34619586653732e-48,4.69096888984047e-46,FALSE
"CJI97_004322",-1.55546339621335,5.28425246856104,1.46101580571473e-47,1.06535693076171e-45,FALSE
"CJI97_000349",-2.64397175293431,4.10711243801502,9.36135763217626e-47,6.73518477109641e-45,FALSE
"CJI97_004899",-1.87322923324444,3.42612852360627,1.06755375679195e-45,7.57963167322284e-44,FALSE
"CJI97_001149",-2.52206368586466,4.46155033755879,3.60132027051879e-45,2.52373041295057e-43,FALSE
"CJI97_000434",-2.71761412118217,10.5300532169839,2.99856029917212e-44,2.07438863773497e-42,TRUE
"CJI97_002126",5.56603376958312,1.60134563514836,4.15222926892307e-44,2.83613027026695e-42,FALSE
"CJI97_001854",-2.8607488011982,6.02355729196936,4.87238168830103e-44,3.28642144875904e-42,FALSE
"CJI97_001020",1.89224248191992,5.6780017117252,4.11222921690973e-42,2.71943670112848e-40,FALSE
"CJI97_003602",2.6472668023031,3.46740625379129,4.13257615812704e-42,2.71943670112848e-40,FALSE
"CJI97_005243",-2.62278347917089,1.9610020299298,2.49761155344873e-41,1.62374842679631e-39,FALSE
"CJI97_004584",-1.99108364081242,6.17046397956349,2.9187104119389e-41,1.87492397414551e-39,FALSE
"CJI97_001788",6.34564437983193,7.39601069937217,6.86701732901015e-41,4.35934417733397e-39,TRUE
"CJI97_001889",-1.29120822672573,7.85608561443444,1.00618916950586e-40,6.31325204494608e-39,TRUE
"CJI97_003773",-2.48644645151019,2.01838353874193,1.60861144857574e-40,9.97708893852261e-39,FALSE
"CJI97_002763",-2.07717598352632,8.35475962941056,3.21777525265455e-40,1.97308127992318e-38,FALSE
"CJI97_003447",-1.9778593638407,9.39635638246079,4.15456402844688e-40,2.51887949410105e-38,FALSE
