kind,x,xend,y,yend,text,color,bold
seg,0.0,0.0,11.25,20.0,,#333,0
seg,0.0,0.578690294,11.25,11.25,,#333,0
seg,0.0,0.0,20.0,20.0,,#333,0
seg,0.578690294,0.578690294,5.5,15.0,,#333,0
seg,0.578690294,0.7192576610000001,5.5,5.5,,#333,0
seg,0.578690294,0.65406871,15.0,15.0,,#333,0
seg,0.65406871,0.65406871,13.0,16.25,,#333,0
seg,0.65406871,0.755397818,13.0,13.0,,#333,0
seg,0.65406871,0.764498873,16.25,16.25,,#333,0
seg,0.764498873,0.764498873,15.5,17.0,,#333,0
seg,0.764498873,0.780747789,15.5,15.5,,#333,0
seg,0.764498873,0.792677102,17.0,17.0,,#b0b0b0,0
seg,0.0,0.0,19.0,21.0,,#333,0
seg,0.0,0.333677193,19.0,19.0,,#333,0
seg,0.0,0.284925058,21.0,21.0,,#b0b0b0,0
wedge,0.7192576610000001,0.7747450581400002,4.88,6.12,,#0072B2,0
label,0.84023772812,0.81645741506,5.5,0.7747450581400002,C. auris,#0072B2,1
label,0.84023772812,0.81645741506,13.0,0.755397818,C. haemulonii,#984EA3,1
label,0.84023772812,0.81645741506,15.5,0.780747789,C. duobushaemulonii,#00A6A6,1
label,0.84023772812,0.81645741506,17.0,0.792677102,C. pseudohaemulonii,#b0b0b0,0
label,0.84023772812,0.81645741506,19.0,0.333677193,C. parapsilosis,#D55E00,1
label,0.84023772812,0.81645741506,21.0,0.284925058,C. albicans,#b0b0b0,0
