Group,E_resp_minus_growth,lo,hi,P_resp_more_sensitive
Clade1,-0.47241994115090785,-0.630626107861886,-0.33081511919900924,0
Clade2,-0.7912599907286683,-0.9615060328062863,-0.6338732297692787,0
Clade3,-0.6189380455782305,-0.7630371479922746,-0.48203566627689326,0
Clade4,-0.7811798777456924,-0.9342534467717579,-0.6405623705751293,0
para,-0.5474377778303339,-0.7271609276690801,-0.3821620936490724,0
