a,b,ratio,lo,hi,credible
Clade4,para,0.4466556757905802,0.34123821018898604,0.565384417421176,TRUE
Clade3,para,0.5259135122003877,0.39761094117078283,0.6732619634993475,TRUE
Clade1,para,0.6111822790367969,0.4603593054352036,0.789066010610814,TRUE
Clade2,para,0.7412883016076839,0.5465620977916423,0.9730708164409534,TRUE
Clade1,Clade2,0.823271108687578,0.6715907795325862,1.0085897823674144,FALSE
Clade1,Clade3,1.160772855902644,0.9801394771585438,1.3690299891044482,FALSE
Clade3,Clade4,1.1756039567935246,1.029210277747102,1.3519663650796818,TRUE
Clade1,Clade4,1.3653638867270845,1.171926084439677,1.5916942244937,TRUE
Clade2,Clade3,1.4100773351558578,1.1720633189586604,1.7040410066603686,TRUE
Clade2,Clade4,1.661993578519334,1.3826989427283187,1.9870443194863365,TRUE
