b0,b1_T,b2_T2,T_opt_C,CUE_at_opt,concave,r_squared,n,OTU,otu_name,cell_volume_um3,cell_carbon_fg
-0.5061480185946784,0.059517386612250936,-0.001003597695880806,29.652014376146802,0.37625718313389767,TRUE,0.40320706841814014,58,1,Clade1_2068,13,1300
-1.2033774915660702,0.09915956500580868,-0.0015842172629605027,31.296075142024538,0.34827510717005716,TRUE,0.37413037170267355,58,2,Clade1_2069,13,1300
-1.2185534061775034,0.10435550332870373,-0.001648010391973237,31.66105742930243,0.4334493857994217,TRUE,0.41839147700850376,60,3,Clade1_2070,13,1300
-0.8969593612439879,0.0752220753683063,-0.0012035071849127938,31.251194970538087,0.2784305104677376,TRUE,0.25775616723172773,53,4,Clade2_2071,13,1300
-1.793611411539638,0.1297095143703947,-0.002002254927889988,32.390859066853416,0.3070898882610882,TRUE,0.4909472949523996,55,5,Clade2_2072,13,1300
-1.8228482982888359,0.13038353863710836,-0.0020429397620165017,31.91076434588853,0.2574708897270721,TRUE,0.6165713368280534,51,6,Clade2_2073,13,1300
-1.2275115273345967,0.10012105036482742,-0.0014967421009238803,33.44632662601881,0.44682914898645243,TRUE,0.3784510698652302,57,7,Clade3_2074,13,1300
-1.4766096653253982,0.12639662455266892,-0.0020121515081131087,31.408326868784627,0.5083435842052388,TRUE,0.5610202982131002,60,8,Clade3_2075,13,1300
-2.021199386885249,0.15566143664880835,-0.0023914162323005273,32.54586854147574,0.5118689401894359,TRUE,0.5672798213850232,59,9,Clade3_2076,13,1300
-1.3729813111056817,0.11160103893840555,-0.001624240329375667,34.354841743556285,0.5440367044670107,TRUE,0.4209632138358621,60,10,Clade4_2077,13,1300
-1.8125572577773068,0.14469574314724756,-0.0021574271796209014,33.53432841535657,0.613580027724633,TRUE,0.5452659447816657,60,11,Clade4_2078,13,1300
-2.2087350182156285,0.16739268653898032,-0.002546810583813228,32.86319909357974,0.5417945740542196,TRUE,0.5044004096196619,55,12,Clade4_2079,13,1300
-2.785954533585749,0.23104675968471433,-0.0037902687433623164,30.478941643562013,0.7350758190965032,TRUE,0.314608402436476,49,13,glab_2048,8,800
-1.183452254590133,0.13219580794559369,-0.0022426645590305594,29.472933750453123,0.7646468902439207,TRUE,0.3066541738751114,60,14,glab_2049,8,800
-2.9006638958469275,0.2414976520014405,-0.003825961158639453,31.56038992399485,0.9102161356004101,TRUE,0.6235698729371317,59,15,glab_2050,8,800
-1.027411547664329,0.08691101184412982,-0.001425572097347758,30.482853868220914,0.29723628912758415,TRUE,0.12114321644154223,45,16,para_2051,38,3800
-1.9506215614849205,0.15769143095929244,-0.002583886811074852,30.514384431122885,0.45530691140794044,TRUE,0.3664354725195577,49,17,para_2052,38,3800
-1.3636265844465811,0.1191116897999472,-0.0019753939445651216,30.1488445197622,0.4319133236857955,TRUE,0.09719958007455409,43,18,para_2053,38,3800
